# sloughing=False,sloughing_time=nan
time_s,h_total_m,h_crit_m
2.230788036705809247e+02,1.918891400624839986e-03,2.152571387196131752e-02
2.240791541354700769e+02,1.917973987522855707e-03,2.150046250557891697e-02
2.250795046003592006e+02,1.917049115772172978e-03,2.147178248036686263e-02
2.260798550652483527e+02,1.916116341697669985e-03,2.143947287183009878e-02
2.270802055301375049e+02,1.915175065604182974e-03,2.140326302130341959e-02
2.280805559950266570e+02,1.914224698810262438e-03,2.136288739530311370e-02
2.290809064599157807e+02,1.913264717646610130e-03,2.131810948955940171e-02
2.300812569248049329e+02,1.912294678155831767e-03,2.126872837310003414e-02
2.310816073896940850e+02,1.911314225874014483e-03,2.121458307387193848e-02
2.320819578545832087e+02,1.910323105619057132e-03,2.115555698251616462e-02
2.330823083194723608e+02,1.909321172089605868e-03,2.109158263223134475e-02
2.340826587843615130e+02,1.908308401546156188e-03,2.102264697813334068e-02
2.350830092492506367e+02,1.907284904808538182e-03,2.094879728348905332e-02
2.360833597141397888e+02,1.906250945994259231e-03,2.087014973140916690e-02
2.370837101790289410e+02,1.905207007375442612e-03,2.078691895818848140e-02
2.380840606439180647e+02,1.904153750808761309e-03,2.069939950165324699e-02
2.390844111088072168e+02,1.903091973749792805e-03,2.060794728607723628e-02
2.400847615736963689e+02,1.902022714230690607e-03,2.051302734867629235e-02
2.410851120385854927e+02,1.900947245219267471e-03,2.041520984535784289e-02
2.420854625034746448e+02,1.899867060534596828e-03,2.031516468111591728e-02
2.430858129683637969e+02,1.898784004965590588e-03,2.021372216797752766e-02
2.440861634332529206e+02,1.897700311846748289e-03,2.011188734165304109e-02
2.450865138981420728e+02,1.896618643584669587e-03,2.001085968375389615e-02
2.460868643630312249e+02,1.895542172597301095e-03,1.991207048516563383e-02
2.470872148279203486e+02,1.894474699494486363e-03,1.981723480141905219e-02
2.480875652928095008e+02,1.893419006737704496e-03,1.940684976570663384e-02
2.490879157576986529e+02,1.892342417009624730e-03,1.744621189010927068e-02
2.500882662225877766e+02,1.891205321982508550e-03,1.580742556039893207e-02
2.510886166874769287e+02,1.890044234527952409e-03,1.464972247128934826e-02
2.520889671523660809e+02,1.888941519481290767e-03,1.381035660634118319e-02
2.530893176172552046e+02,1.801791352107638688e-03,7.291977636345415431e-03
2.540896680821443567e+02,1.799869983083153676e-03,6.694203765794584995e-03
2.550900185470335089e+02,1.753811413336324888e-03,6.200397341025653750e-03
2.560903690119226326e+02,1.751867420066697406e-03,5.770152898719583742e-03
2.570907194768117847e+02,1.705554177209788478e-03,5.318510884662621188e-03
2.580910699417009369e+02,1.659274975406793825e-03,4.920430561897365385e-03
2.590914204065900890e+02,1.568548650774893730e-03,4.532264793790709637e-03
2.600917708714792411e+02,1.522064289434952840e-03,4.168745775135106885e-03
2.610921213363683364e+02,1.431121321146970170e-03,3.815878202530865321e-03
2.620924718012574886e+02,1.295496086499322609e-03,3.464689301533028978e-03
2.630928222661466407e+02,1.159788168553533031e-03,3.105634541950218555e-03
2.640931727310357928e+02,8.000847377884609188e-04,2.661591432007582095e-03
